Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2014,"Jefferson County, NE",0,0,0,0,0
2014,"Jefferson County, NY",50,94,78,Data suppressed,Data suppressed
2014,"Jefferson County, OH",19,8,25,Data suppressed,Data suppressed
2014,"Jefferson County, OK",0,Data suppressed,Data suppressed,Data suppressed,0
2014,"Jefferson County, OR",Data suppressed,Data suppressed,6,Data suppressed,0
2014,"Jefferson County, PA",Data suppressed,Data suppressed,Data suppressed,0,Data suppressed
2014,"Jefferson County, TN",11,Data suppressed,32,Data suppressed,0
2014,"Jefferson County, TX",344,220,444,169,18
2014,"Jefferson County, WA",Data suppressed,Data suppressed,20,Data suppressed,0
2014,"Jefferson County, WI",Data suppressed,Data suppressed,18,Data suppressed,Data suppressed
2014,"Jefferson County, WV",Data suppressed,Data suppressed,22,Data suppressed,Data suppressed
2014,"Jefferson Davis County, MS",11,Data suppressed,12,Data suppressed,Data suppressed
2014,"Jefferson Davis Parish, LA",29,5,21,Data suppressed,Data suppressed
2014,"Jefferson Parish, LA",632,145,816,78,18
2014,"Jenkins County, GA",13,6,12,Data suppressed,Data suppressed
2014,"Jennings County, IN",Data suppressed,Data suppressed,5,Data suppressed,Data suppressed
2014,"Jerauld County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jerome County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jersey County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jessamine County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jewell County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jim Hogg County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jim Wells County, TX",5,Data suppressed,15,Data suppressed,Data suppressed
2014,"Jo Daviess County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Johnson County, AR",Data suppressed,0,7,Data suppressed,0
2014,"Johnson County, GA",5,Data suppressed,11,Data suppressed,0
2014,"Johnson County, IA",35,11,93,14,0
2014,"Johnson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Johnson County, IN",27,8,76,Data suppressed,Data suppressed
2014,"Johnson County, KS",131,31,403,33,10
2014,"Johnson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Johnson County, MO",12,5,16,Data suppressed,Data suppressed
2014,"Johnson County, NE",0,0,0,0,0
2014,"Johnson County, TN",Data suppressed,Data suppressed,14,Data suppressed,Data suppressed
2014,"Johnson County, TX",54,41,90,15,5
2014,"Johnson County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Johnston County, NC",109,50,147,Data suppressed,Data suppressed
2014,"Johnston County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,0
2014,"Jones County, GA",6,Data suppressed,12,Data suppressed,0
2014,"Jones County, IA",5,Data suppressed,8,Data suppressed,0
2014,"Jones County, MS",58,17,63,Data suppressed,Data suppressed
2014,"Jones County, NC",6,Data suppressed,9,Data suppressed,0
2014,"Jones County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jones County, TX",6,Data suppressed,15,Data suppressed,0
2014,"Josephine County, OR",6,17,21,12,0
2014,"Juab County, UT",Data suppressed,Data suppressed,Data suppressed,0,Data suppressed
2014,"Judith Basin County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Juneau City and Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Juneau County, WI",Data suppressed,0,6,Data suppressed,Data suppressed
2014,"Juniata County, PA",7,Data suppressed,8,Data suppressed,0
2014,"Kalamazoo County, MI",70,24,220,13,7
2014,"Kalawao County, HI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kalkaska County, MI",Data suppressed,0,5,Data suppressed,0
2014,"Kanabec County, MN",Data suppressed,0,Data suppressed,0,0
2014,"Kanawha County, WV",55,33,211,Data suppressed,Data suppressed
2014,"Kandiyohi County, MN",10,Data suppressed,8,Data suppressed,Data suppressed
2014,"Kane County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kane County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kankakee County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Karnes County, TX",6,5,19,6,0
2014,"Kauai County, HI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kaufman County, TX",49,16,91,Data suppressed,Data suppressed
2014,"Kay County, OK",7,Data suppressed,16,5,Data suppressed
2014,"Kearney County, NE",0,0,0,0,0
2014,"Kearny County, KS",0,0,0,0,0
2014,"Keith County, NE",0,0,0,0,0
2014,"Kemper County, MS",Data suppressed,0,11,Data suppressed,0
2014,"Kenai Peninsula Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kendall County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kendall County, TX",6,Data suppressed,22,Data suppressed,Data suppressed
2014,"Kenedy County, TX",0,0,0,0,0
2014,"Kennebec County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kenosha County, WI",38,25,96,Data suppressed,Data suppressed
2014,"Kent County, DE",151,72,133,21,17
2014,"Kent County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kent County, MI",228,63,522,59,14
2014,"Kent County, RI",23,12,50,Data suppressed,Data suppressed
2014,"Kent County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kenton County, KY",40,17,123,Data suppressed,Data suppressed
2014,"Keokuk County, IA",Data suppressed,0,Data suppressed,Data suppressed,0
2014,"Kern County, CA",239,318,671,201,12
2014,"Kerr County, TX",Data suppressed,6,28,Data suppressed,0
2014,"Kershaw County, SC",36,8,38,Data suppressed,Data suppressed
2014,"Ketchikan Gateway Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kewaunee County, WI",Data suppressed,Data suppressed,Data suppressed,0,0
2014,"Keweenaw County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Keya Paha County, NE",0,0,0,0,0
2014,"Kidder County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kimball County, NE",0,0,0,0,0
2014,"Kimble County, TX",0,0,0,0,0
2014,"King And Queen County, VA",7,Data suppressed,8,Data suppressed,0
2014,"King County, TX",0,0,0,0,0
2014,"King County, WA",793,354,"4,699",647,68
2014,"King George County, VA",9,Data suppressed,12,Data suppressed,Data suppressed
2014,"King William County, VA",7,Data suppressed,Data suppressed,0,0
2014,"Kingfisher County, OK",Data suppressed,Data suppressed,9,Data suppressed,0
2014,"Kingman County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kings County, CA",36,28,62,Data suppressed,Data suppressed
2014,"Kings County, NY","8,142","5,967","9,834","1,010",659
2014,"Kingsbury County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kinney County, TX",Data suppressed,0,Data suppressed,0,0
2014,"Kiowa County, CO",0,0,0,0,0
2014,"Kiowa County, KS",0,0,0,0,0
2014,"Kiowa County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kit Carson County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kitsap County, WA",30,22,177,37,5
2014,"Kittitas County, WA",Data suppressed,Data suppressed,15,Data suppressed,Data suppressed
2014,"Kittson County, MN",0,0,0,0,0
2014,"Klamath County, OR",Data suppressed,Data suppressed,17,Data suppressed,0
2014,"Kleberg County, TX",6,Data suppressed,16,Data suppressed,0
2014,"Klickitat County, WA",5,0,8,Data suppressed,Data suppressed
2014,"Knott County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, IN",6,Data suppressed,11,Data suppressed,Data suppressed
2014,"Knox County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, ME",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Knox County, OH",5,Data suppressed,21,Data suppressed,0
2014,"Knox County, TN",155,73,484,30,11
2014,"Knox County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kodiak Island Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Koochiching County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kootenai County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kosciusko County, IN",9,Data suppressed,17,Data suppressed,0
2014,"Kossuth County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Kusilvak Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"La Crosse County, WI",21,13,54,Data suppressed,Data suppressed
2014,"La Paz County, AZ",Data suppressed,6,11,Data suppressed,0
2014,"La Plata County, CO",Data suppressed,Data suppressed,24,Data suppressed,Data suppressed
2014,"La Salle County, TX",Data suppressed,0,7,Data suppressed,0
2014,"Labette County, KS",5,Data suppressed,10,Data suppressed,0
2014,"Lac Qui Parle County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Lackawanna County, PA",86,59,93,11,7
2014,"Laclede County, MO",Data suppressed,Data suppressed,8,Data suppressed,0
2014,"Lafayette County, AR",Data suppressed,Data suppressed,Data suppressed,0,0
2014,"Lafayette County, FL",Data suppressed,Data suppressed,8,0,0
2014,"Lafayette County, MO",Data suppressed,Data suppressed,7,0,Data suppressed
2014,"Lafayette County, MS",20,5,44,Data suppressed,Data suppressed
