State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
AZ,Maricopa County,"Maricopa County, AZ",4013,566,15.5,"3,657,871",HIV diagnoses,2018
MO,Maries County,"Maries County, MO",29125,0,0,"7,563",HIV diagnoses,2018
CA,Marin County,"Marin County, CA",6041,21,9.4,"224,215",HIV diagnoses,2018
WI,Marinette County,"Marinette County, WI",55075,0,0,"35,049",HIV diagnoses,2018
WV,Marion County,"Marion County, WV",54049,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Marion County,"Marion County, TX",48315,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Marion County,"Marion County, GA",13197,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Marion County,"Marion County, FL",12083,43,13.8,"312,158",HIV diagnoses,2018
AR,Marion County,"Marion County, AR",5089,0,0,"14,478",HIV diagnoses,2018
AL,Marion County,"Marion County, AL",1093,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Marion County,"Marion County, TN",47115,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Marion County,"Marion County, SC",45067,6,23.1,"25,999",HIV diagnoses,2018
OR,Marion County,"Marion County, OR",41047,22,7.7,"284,968",HIV diagnoses,2018
OH,Marion County,"Marion County, OH",39101,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Marion County,"Marion County, MO",29127,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Marion County,"Marion County, MS",28091,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Marion County,"Marion County, KY",21155,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Marion County,"Marion County, KS",20115,0,0,"10,167",HIV diagnoses,2018
IA,Marion County,"Marion County, IA",19125,0,0,"27,876",HIV diagnoses,2018
IN,Marion County,"Marion County, IN",18097,205,26.2,"780,995",HIV diagnoses,2018
IL,Marion County,"Marion County, IL",17121,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CA,Mariposa County,"Mariposa County, CA",6043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Marlboro County,"Marlboro County, SC",45069,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Marquette County,"Marquette County, WI",55077,0,0,"13,328",HIV diagnoses,2018
MI,Marquette County,"Marquette County, MI",26103,0,0,"57,891",HIV diagnoses,2018
